grid_id,lat,long,lambda_num,y,x2,x1,x0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x2_d,x1_d,x0_d,x_1_d,x_2_d,x_3_d,x_4_d,x_5_d,x_6_d,x_7_d,s2,s1,s0,s_1,s_2,s_3,s_4,s_5,s_6,s_7,s_8,s2_d,s1_d,s0_d,s_1_d,s_2_d,s_3_d,s_4_d,s_5_d,s_6_d,s_7_d,y_1,y_2,y_3,y_4,y_5,y_6,y_7,y_8
10_10,10.475,-61.425,0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,0.0,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,
10_10,10.475,-61.425,1,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,,,,,,,,0.0,,,,,,,
10_10,10.475,-61.425,2,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,,,,,,
10_10,10.475,-61.425,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,0.8085946693325549,0.0,0.0,0.0,0.0,0.0,,,,,,0.8085946693325549,0.0,0.0,0.0,0.0,,,,,,1.0,0.0,0.0,,,,,
10_10,10.475,-61.425,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.10737531197261072,0.8085946693325549,0.0,0.0,0.0,0.0,0.0,,,,,-0.7012193573599441,0.8085946693325549,0.0,0.0,0.0,0.0,,,,,1.0,1.0,0.0,0.0,,,,
10_10,10.475,-61.425,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.10737531197261072,0.8085946693325549,0.0,0.0,0.0,0.0,0.0,,,,-0.10737531197261072,-0.7012193573599441,0.8085946693325549,0.0,0.0,0.0,0.0,,,,1.0,1.0,1.0,0.0,0.0,,,
10_10,10.475,-61.425,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.10737531197261072,0.8085946693325549,0.0,0.0,0.0,0.0,0.0,,,0.0,-0.10737531197261072,-0.7012193573599441,0.8085946693325549,0.0,0.0,0.0,0.0,,,0.0,1.0,1.0,1.0,0.0,0.0,,
10_10,10.475,-61.425,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.10737531197261072,0.8085946693325549,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,-0.10737531197261072,-0.7012193573599441,0.8085946693325549,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,1.0,1.0,0.0,0.0,
10_10,10.475,-61.425,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10737531197261072,0.8085946693325549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10737531197261072,-0.7012193573599441,0.8085946693325549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
10_10,10.475,-61.425,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10737531197261072,0.8085946693325549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10737531197261072,-0.7012193573599441,0.8085946693325549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
